//Zamorakian footsoldier spawned by mod_frost
17422 - 3175 3214 0
//Zamorakian footsoldier spawned by mod_frost
17422 - 3162 3213 0
//Zamorakian demon lord spawned by mod_frost
17073 - 3172 3217 0
//Zamorakian herbalist's son spawned by mod_frost
17478 - 3175 3172 0
//Zamorakian herbalist's wife spawned by mod_frost
17477 - 3165 3171 0
//Zamorak devotee spawned by mod_frost
17559 - 3154 3196 0
//Zamorak follower spawned by mod_frost
17560 - 3154 3188 0
//Zamorak devotee spawned by mod_frost
17561 - 3162 3175 0
//Zamorak devotee spawned by mod_frost
17561 - 3179 3195 0
//Cleric of Zamorak spawned by mod_frost
18066 - 3186 3184 0
18621 - 1636 5316 0
18621 - 1646 5316 0
18621 - 1654 5313 0
17144 - 1109 591 1
17144 - 1112 592 1
17144 - 1115 594 1
17144 - 1116 599 1
17144 - 1108 599 1
17144 - 1107 595 1
17147 - 1104 611 1
17147 - 1098 611 1
17145 - 1093 603 1
17145 - 1089 602 1
17145 - 1085 598 1
17147 - 1090 618 1
17147 - 1091 619 1
17147 - 1124 606 1
17147 - 1126 610 1
17147 - 1145 610 1
17147 - 1151 599 1
17147 - 1092 635 1
17144 - 1077 584 1
17144 - 1073 582 1
17144 - 1074 586 1
17144 - 1066 583 1
17144 - 1063 585 1
17144 - 1062 581 1
17146 - 1070 583 1
17146 - 1060 583 1
17145 - 1058 589 1
17145 - 1056 586 1
17145 - 1057 583 1
17145 - 1058 580 1
17147 - 1052 592 1
17147 - 1047 596 1
17146 - 1053 595 1
17144 - 1057 599 1
17144 - 1058 595 1
17145 - 1041 600 1
17145 - 1038 595 1
17145 - 1038 592 1
17147 - 1035 588 1
17147 - 1029 591 1
17144 - 1032 597 1
17145 - 1027 581 1
17145 - 1029 585 1
17146 - 1041 582 1
17144 - 1038 581 1
17144 - 1044 609 1
17144 - 1048 609 1
17146 - 1049 609 1
17145 - 1032 611 1
17145 - 1030 616 1
17145 - 1037 616 1
17145 - 1037 610 1
17146 - 1031 616 1
17144 - 1044 617 1
17144 - 1040 613 1
17144 - 1043 613 1
17144 - 1048 612 1
17144 - 1052 617 1
17146 - 1050 618 1
17147 - 1049 623 1
17147 - 1045 627 1
17147 - 1036 625 1
17147 - 1030 631 1
17147 - 1035 639 1
17145 - 1040 649 1
17145 - 1038 652 1
17145 - 1042 655 1
17145 - 1033 658 1
17145 - 1037 664 1
17145 - 1042 663 1
17144 - 1041 676 1
17144 - 1045 673 1
17144 - 1040 671 1
17144 - 1035 673 1
17144 - 1054 652 1
17144 - 1057 656 1
17144 - 1055 657 1
17144 - 1057 661 1
17144 - 1054 664 1
17144 - 1057 668 1
17144 - 1054 672 1
17147 - 1053 677 1
17147 - 1051 685 1
17146 - 1049 686 1
17145 - 1059 684 1
17145 - 1064 687 1
17146 - 1066 679 1
17146 - 1072 682 1
17147 - 1074 686 1
17144 - 1076 673 1
17144 - 1077 668 1
17144 - 1076 663 1
17144 - 1074 653 1
17147 - 1078 653 1
17147 - 1084 657 1
17147 - 1090 664 1
17147 - 1096 667 1
17145 - 1107 669 1
17146 - 1110 668 1
17145 - 1115 668 1
17147 - 1137 667 1
17144 - 1130 663 1
17144 - 1124 663 1
17144 - 1127 658 1
17144 - 1131 651 1
17144 - 1134 655 1
17144 - 1139 659 1
17144 - 1139 655 1
17144 - 1140 652 1
17144 - 1144 655 1
17144 - 1138 661 1
17145 - 1142 676 1
17145 - 1134 675 1
17146 - 1131 681 1
17145 - 1137 687 1
17145 - 1142 682 1
17147 - 1154 691 1
17147 - 1158 695 1
17147 - 1160 693 1
17147 - 1164 696 1
17147 - 1164 688 1
17144 - 1169 684 1
17144 - 1173 683 1
17144 - 1169 679 1
17146 - 1173 676 1
17145 - 1173 672 1
17145 - 1171 667 1
17145 - 1174 664 1
17145 - 1178 664 1
17145 - 1185 666 1
17144 - 1184 672 1
17144 - 1190 675 1
17144 - 1194 671 1
17144 - 1191 669 1
17145 - 1201 668 1
17146 - 1199 664 1
17145 - 1193 662 1
17145 - 1191 659 1
17145 - 1189 652 1
17145 - 1185 653 1
17145 - 1189 652 1
17144 - 1177 673 1
17144 - 1173 674 1
17145 - 1183 677 1
17145 - 1178 661 1
17147 - 1149 649 1
17144 - 1149 644 1
17147 - 1154 641 1
17144 - 1148 637 1
17144 - 1146 641 1
17144 - 1140 636 1
17144 - 1134 639 1
17144 - 1141 643 1
17147 - 1140 647 1
17144 - 1134 646 1
17144 - 1146 647 1
17147 - 1171 651 1
17147 - 1178 648 1
17147 - 1181 644 1
17147 - 1179 636 1
17147 - 1189 636 1
17147 - 1184 630 1
17146 - 1183 624 1
17154 - 1183 606 1
17153 - 1201 630 1
17152 - 1162 626 1
17151 - 1108 651 1
17150 - 1105 683 1
17149 - 1015 645 1
